,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
73,f2FfutZhb4F-m1Ob0EdYaw,China Palace,Shadyside,5440 Walnut St,Pittsburgh,PA,15232,40.450866,-79.933919,3.0,110,1,"{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'True', 'DriveThru': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV': 'True', 'NoiseLevel': 'average', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'WiFi': 'no'}","Asian Fusion, Caterers, Fast Food, Chinese, Restaurants, Vegetarian, Food Delivery Services, Event Planning & Services, Food","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-21:0'}"
109,SUhBnQdG8MWkmjM6wsnVdw,Tang Dynasty Restaurant And Bar,,2515 N Scottsdale Rd,Scottsdale,AZ,85257,33.4753493,-111.9256575,3.5,28,1,"{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'CoatCheck': 'False', 'GoodForDancing': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HappyHour': 'False', 'HasTV': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': True, 'live': False, 'video': False, 'jukebox': False}"", 'NoiseLevel': 'quiet', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '3', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'Smoking': 'no', 'WheelchairAccessible': 'True', 'WiFi': 'free'}","Chinese, Bars, Karaoke, Nightlife, Restaurants","{'Monday': '12:0-22:30', 'Tuesday': '11:0-23:0', 'Wednesday': '12:0-22:30', 'Thursday': '12:0-22:30', 'Friday': '12:0-22:30', 'Saturday': '12:0-22:30', 'Sunday': '12:0-22:30'}"
214,5ZqybrqiTdbANn2yI3B3VA,Great Wall,Allied Dunn's Marsh,4515 Verona Rd,Madison,WI,53711,43.0352412,-89.4535994,3.5,22,1,"{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'True', 'DogsAllowed': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'False', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'WiFi': 'free'}","Restaurants, Chinese","{'Monday': '10:30-21:30', 'Tuesday': '10:30-21:30', 'Wednesday': '10:30-21:30', 'Thursday': '10:30-21:30', 'Friday': '10:30-22:0', 'Saturday': '10:30-22:0', 'Sunday': '12:0-21:30'}"
331,J8PbfZbU7XTs-h55ezuQcQ,CHANG HUA GARDEN,,811 S Gammon Rd,Fitchburg,WI,53719,43.0474061,-89.5026303,4.5,3,0,{'RestaurantsAttire': 'casual'},"Chinese, Restaurants","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '12:0-21:0'}"
372,YkAIlxYZ1guSqbbowU9X4g,Luckee,Entertainment District,328 Wellington Street W,Toronto,ON,M5V 3T4,43.6446974,-79.3923951,3.5,171,1,"{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'GoodForKids': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV': 'False', 'NoiseLevel': 'average', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '3', 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': 'no'}","Restaurants, Chinese, Dim Sum, Breakfast & Brunch","{'Monday': '16:0-1:0', 'Tuesday': '12:0-1:0', 'Wednesday': '12:0-1:0', 'Thursday': '12:0-1:0', 'Friday': '12:0-1:0', 'Saturday': '11:0-1:0', 'Sunday': '11:0-1:0'}"
451,iQT1y93mE8j3ZbNaXGd-sA,PF Chang's,Laval,3035 Boulevard  Le Carrefour,Laval,QC,H7T 1C7,45.5721514292,-73.7542209393,3.0,22,1,"{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'False', 'DogsAllowed': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'True', 'NoiseLevel': 'average', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'WiFi': 'free'}","Restaurants, Chinese, Gluten-Free, Vegetarian, Asian Fusion","{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-23:0', 'Friday': '11:30-0:0', 'Saturday': '12:0-0:0', 'Sunday': '12:0-21:30'}"
482,6E7heoeb5zO4iwKmqScVZw,Kam Ho,Ville-Marie,1448 Rue MacKay,Montréal,QC,H3G 2H7,45.4963171,-73.5782911,3.0,3,0,"{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': True}"", 'Caters': 'False', 'DogsAllowed': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'True', 'NoiseLevel': 'quiet', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'False', 'WheelchairAccessible': 'True', 'WiFi': 'paid'}","Chinese, Restaurants","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '13:30-23:0', 'Sunday': '13:30-23:0'}"
653,ZcMRFFuvFt5gH2hdnpyigg,O Fuzion,Rosemont-La Petite-Patrie,2862 Boulevard Rosemont,Montréal,QC,H1Y 1L7,45.550040767,-73.5829375684,3.0,8,1,{'RestaurantsDelivery': 'True'},"Chinese, Restaurants, Thai, Asian Fusion","{'Monday': '15:0-20:0', 'Tuesday': '15:0-20:0', 'Wednesday': '12:0-20:0', 'Thursday': '12:0-21:0', 'Friday': '12:0-21:0', 'Saturday': '14:30-21:0', 'Sunday': '14:30-20:0'}"
677,fnaDx7UD4MiodQlgYHDwsQ,Dragon Palace,,13825 N 32nd St,Phoenix,AZ,85032,33.6124852,-112.012193,4.0,192,1,"{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV': 'False', 'NoiseLevel': 'quiet', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'WiFi': 'no'}","Restaurants, Chinese","{'Monday': '17:0-21:30', 'Tuesday': '17:0-21:30', 'Wednesday': '17:0-21:30', 'Thursday': '17:0-21:30', 'Friday': '17:0-21:30', 'Saturday': '14:0-21:30', 'Sunday': '16:0-21:0'}"
687,Lxe5I1HL-SiH8mA1c6OUmQ,Aux Cinq Parfums,Ahuntsic-Cartierville,9732 Rue Birnam,Montréal,QC,H4N 1K5,45.5360953,-73.6643141,3.5,6,1,"{'Alcohol': 'full_bar', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'DogsAllowed': 'False', 'OutdoorSeating': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True'}","Chinese, Thai, Restaurants, Asian Fusion","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '17:0-22:0', 'Sunday': '17:0-22:0'}"
