id,textToRead,pinyin,english
1,你,nǐ;nǐ,you
2,好,hǎo;hǎo,good
3,我,wǒ;wǒ,I;me
4,叫,jiào;jiào,to be called;to be named
5,什么,shénme;shén me,what
6,名字,míngzi;míng zi,name
7,姓,xìng;xìng,to be surnamed
8,他,tā;tā,he;him
9,你好,nǐhǎo;nǐ hǎo,hello;hi
10,你叫什么名字,nǐ jiào shénme míngzi;nǐ jiào shén me míng zi,what's your name?;what is your name?
11,他叫什么名字,tā jiào shénme míngzi;tā jiào shén me míng zi,what's his name?;what is his name?
12,这,zhè;zhè,this
13,是,shì;shì,to be
14,中国人,zhōngguó rén;zhōng guó rén,chinese;chinese person
15,中国,zhōngguó;zhōng guó,china
16,人,rén;rén,people;person
17,法国人,fǎguórén;fǎ guó rén,French (person);French
18,法国,fǎguó;fǎ guó,France
19,您,nín;nín,you;you (polite)
20,认识,rènshi;rèn shi,to know
21,很,hěn;hěn,very;quite
22,高兴,gāoxìng;gāo xìng,happy;glad
23,也,yě;yě,also;too
24,那,nà;nà,that
25,谁,shéi;shéi,who;whom
26,哪国人,nǎ guórén;nǎ guó rén,person from which country;what nationality;which country;which nationality
27,哪,nǎ;nǎ,which
28,他是哪国人,tā shì nǎ guórén;tā shì nǎ guó rén,what's his nationality?;what is his nationality?
29,德国人,déguórén;dé guó rén,German; German (person)
30,德国,déguó;dé guó,Germany
31,西班牙人,xībānyárén;xī bān yá rén,Spanish; Spanish (person)
32,西班牙,xībānyá;xī bān yá,Spain
33,南非人,nánfēi rén;nán fēi rén,South African;South African (person)
34,南非,nánfēi;nán fēi,South Africa
35,美国人,měiguó rén;měi guó rén,American
36,美国,měiguó;měi guó,USA；United States of America
37,他是中国人,tā shì zhōngguó rén;tā shì zhōng guó rén,He is Chinese
38,他是大卫,tā shì dàwèi;tā shì dà wèi,He is David
39,他是法国人,tā shì fǎguórén;tā shì fǎ guó rén,He is French
40,他是孔子,tā shì kǒngzǐ;tā shì kǒng zǐ,He is Confucius
41,他是德国人,tā shì déguórén;tā shì dé guó rén,He is German
42,他是西班牙人,tā shì xībānyárén;tā shì xī bān yá rén,He is Spanish
43,他是南非人,tā shì nánfēi rén;tā shì nán fēi rén,He is a South African
44,他是美国人,tā shì měiguó rén;tā shì měi guó rén,He is an American.
45,认识您很高兴,rènshi nín hěn gāoxìng;rèn shi nín hěn gāo xìng,Glad to meet you.;I'm glad to meet you.
46,认识您我也很高兴,rènshi nín wǒ yě hěn gāoxìng;rèn shi nín wǒ yě hěn gāo xìng,"I'm glad to meet you, too."
47,您好,nínhǎo;nín hǎo,hello;hi;hello (polite);hi (polite)
48,那是谁,nà shì shéi;nà shì shéi,Who's that?;Who is that?
49,老师,lǎoshī;lǎo shī,teacher
50,学生,xuésheng;xué sheng,student
51,同学,tóngxué;tóng xué,classmate
52,同学们,tóngxué men;tóng xué men,classmates
53,我不知道,wǒ bù zhīdào;wǒ bù zhī dào,I don't know.;I do not know.
54,谁认识他,shéi rènshi tā;shéi rèn shi tā,Who knows him?
55,菲律宾,fēilǜbīn;fēi lǜ bīn,Philippines
56,您是木先生吗,nín shì mù xiānsheng ma;nín shì mù xiān sheng ma,Are you Mr. Mu?
57,邮递员,yóudìyuán;yóu dì yuán,mailman;postman;courier
58,请问,qǐngwèn;qǐng wèn,Excuse me;May i ask
59,先生,xiānsheng;xiān sheng,Mr.;mister;Sir
60,吗,ma;ma,question
61,不,bù;bù,no;not
62,我的,wǒ de;wǒ de,mine
63,这是我的快递,zhè shì wǒ de kuàidì;zhè shì wǒ de kuài dì,This is my mail.;This is my parcel.
64,快递,kuàidì;kuài dì,express mail;mail;parcel
65,对不起,duìbuqǐ;duì bu qǐ,to be sorry;i'm sorry
66,没关系,méiguānxi;méi guān xi,It doesn't matter.;It's alright.;It does not matter.;It is alright.
67,再见,zàijiàn;zài jiàn,to see you around;see you around;good bye
68,他是王经理,tā shì wángjīnglǐ;tā shì wáng jīng lǐ,He is Manager Wang.
69,小姐,xiǎojiě;xiǎo jiě,young lady;miss;Ms.
70,女士,nǚshì;nǚ shì,lady;madam
71,经理,jīnglǐ;jīng lǐ,manager
72,大夫,dàifu;dài fu,doctor
73,医生,yīshēng;yī shēng,doctor
74,不是,búshì;bú shì,no
75,他做什么工作,tā zuò shénme gōngzuò;tā zuò shén me gōng zuò,What kind of work does he do?；What does he do?;What is his job?;What's his job?
76,做,zuò;zuò,to do
77,工作,gōngzuò;gōng zuò,job; work
78,司机,sījī;sī jī,driver
79,忙,máng;máng,busy
80,记者,jìzhě;jì zhě,reporter;journalist
81,非常,fēicháng;fēi cháng,very;very much;extremely
82,家庭主妇,jiātíngzhǔfù;jiā tíng zhǔ fù,housewife
83,家庭,jiātíng;jiā tíng,family
84,主妇,zhǔfù;zhǔ fù,housewife
85,最,zuì;zuì,most;superlatively
86,他是司机,tā shì sījī;tā shì sī jī,He is a driver.
87,他是记者,tā shì jìzhě;tā shì jì zhě,He is a journalist
88,他是医生,tā shì yīshēng;tā shì yī shēng,He is a doctor
89,他是经理,tā shì jīnglǐ;tā shì jīng lǐ,He is the manager
90,他非常忙,tā fēicháng máng;tā fēi cháng máng,He is very busy;He is extremely busy
91,他很忙,tā hěn máng;tā hěn máng,He is very busy
92,他最忙,tā zuìmáng;tā zuì máng,He is the busiest
93,服务员,fúwùyuán;fú wù yuán,attendant;waiter;waitress
94,服务,fúwù;fú wù,to serve;to wait on 
95,秘书,mìshū;mì shū,secretary
96,厨师,chúshī;chú shī,chef
97,累,lèi;lèi,tired;weary
98,律师,lǜshī;lǜ shī,lawyer
99,幸苦,xìngkǔ;xìng kǔ,toilsome;laborious
100,运动员,yùndòngyuán;yùn dòng yuán,athlete
101,运动,yùndòng;yùn dòng,to do sports
102,快乐,kuàilè;kuài lè,happy;glad
103,他很辛苦,tā hěn xīnkǔ;tā hěn xīn kǔ,He worked very hard.;He is very hardworking
